model	dataset	N	oov	hyper_num	method	AP	include_oov	corpus	qts_pattern
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.7206249094572905	False	wikipedia120M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7206249094572905	False	wikipedia120M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.7206249094572905	False	wikipedia120M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7206249094572905	False	wikipedia120M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.7206249094572905	False	wikipedia120M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7206249094572905	False	wikipedia120M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.7206249094572905	False	wikipedia120M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7206249094572905	False	wikipedia120M	1
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.7352678405597806	False	wikipedia120M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.7187235081464969	False	wikipedia120M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.7213546185844557	False	wikipedia120M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7332234638510133	False	wikipedia120M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.7352678405597806	False	wikipedia120M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.7187235081464969	False	wikipedia120M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.7213546185844557	False	wikipedia120M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7332234638510133	False	wikipedia120M	2
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_positional_rank	0.7446972036469655	False	wikipedia120M	3
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword min_positional_rank	0.722302728117121	False	wikipedia120M	3
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword max_pattern	0.7272737381829923	False	wikipedia120M	3
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword mean_pattern	0.7417104916020494	False	wikipedia120M	3
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_positional_rank	0.7446972036469655	False	wikipedia120M	3
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword min_positional_rank	0.722302728117121	False	wikipedia120M	3
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword max_pattern	0.7272737381829923	False	wikipedia120M	3
neuralmind-bert-base-portuguese-cased_bert-score	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword mean_pattern	0.7417104916020494	False	wikipedia120M	3
