model	dataset	N	oov	hyper_num	method	AP	include_oov	corpus	pattern
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	mean_subword	0.6990258451632884	False	wikipedia120M	{} é um tipo de {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	mean_subword	0.6868982285172186	False	wikipedia120M	{} é um {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	mean_subword	0.6855711457604614	False	wikipedia120M	{} e outros {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	mean_subword	0.625316181957601	False	wikipedia120M	{} ou outro {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	mean_subword	0.6280106030575445	False	wikipedia120M	{} , um {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	all_subword	0.6990258451632884	False	wikipedia120M	{} é um tipo de {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	all_subword	0.6868982285172186	False	wikipedia120M	{} é um {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	all_subword	0.6855711457604614	False	wikipedia120M	{} e outros {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	all_subword	0.625316181957601	False	wikipedia120M	{} ou outro {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	all_subword	0.6280106030575445	False	wikipedia120M	{} , um {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	mean_subword	0.6990258451632884	False	wikipedia240M	{} é um tipo de {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	mean_subword	0.6868982285172186	False	wikipedia240M	{} é um {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	mean_subword	0.6855711457604614	False	wikipedia240M	{} e outros {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	mean_subword	0.625316181957601	False	wikipedia240M	{} ou outro {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	mean_subword	0.6280106030575445	False	wikipedia240M	{} , um {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	all_subword	0.6990258451632884	False	wikipedia240M	{} é um tipo de {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	all_subword	0.6868982285172186	False	wikipedia240M	{} é um {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	all_subword	0.6855711457604614	False	wikipedia240M	{} e outros {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	all_subword	0.625316181957601	False	wikipedia240M	{} ou outro {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	574	0	276	all_subword	0.6280106030575445	False	wikipedia240M	{} , um {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	573	0	276	mean_subword	0.6991000111460492	False	wikipedia30M	{} é um tipo de {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	573	0	276	mean_subword	0.6869175120915341	False	wikipedia30M	{} é um {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	573	0	276	mean_subword	0.6856274578576329	False	wikipedia30M	{} e outros {}
neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	573	0	276	mean_subword	0.6253941111142732	False	wikipedia30M	{} ou outro {}
