model	dataset	N	oov	hyper_num	method	AP	include_oov	corpus	pattern
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword	0.694222332194184	False	wikipedia120M	{} é um tipo de {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword	0.6820592981610096	False	wikipedia120M	{} é um {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword	0.3675528285769739	False	wikipedia120M	{} e outros {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword	0.3783749312875987	False	wikipedia120M	{} ou outro {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword	0.6273065511380644	False	wikipedia120M	{} , um {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword	0.694222332194184	False	wikipedia120M	{} é um tipo de {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword	0.6820592981610096	False	wikipedia120M	{} é um {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword	0.3675528285769739	False	wikipedia120M	{} e outros {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword	0.3783749312875987	False	wikipedia120M	{} ou outro {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword	0.6273065511380644	False	wikipedia120M	{} , um {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword	0.694222332194184	False	wikipedia240M	{} é um tipo de {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword	0.6820592981610096	False	wikipedia240M	{} é um {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword	0.3675528285769739	False	wikipedia240M	{} e outros {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword	0.3783749312875987	False	wikipedia240M	{} ou outro {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	mean_subword	0.6273065511380644	False	wikipedia240M	{} , um {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword	0.694222332194184	False	wikipedia240M	{} é um tipo de {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword	0.6820592981610096	False	wikipedia240M	{} é um {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword	0.3675528285769739	False	wikipedia240M	{} e outros {}
z-score_neuralmind-bert-base-portuguese-cased	conceptnet-hypernym-1_token_1.tsv	574	0	276	all_subword	0.3783749312875987	False	wikipedia240M	{} ou outro {}
