model	dataset	subtoken	N
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	1,1	74435
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	1,2	78974
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	1,3	41214
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	1,4	9224
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	1,5	1121
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	1,6	136
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	1,7	8
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	1,8	1
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	1,10	1
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	2,1	118376
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	2,2	140497
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	2,3	73395
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	2,4	16649
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	2,5	1817
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	2,6	220
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	2,7	14
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	2,8	2
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	2,9	1
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	2,11	1
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	3,1	74592
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	3,2	89805
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	3,3	51060
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	3,4	12044
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	3,5	1280
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	3,6	147
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	3,7	4
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	3,11	1
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	4,1	18086
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	4,2	21805
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	4,3	12932
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	4,4	3365
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	4,5	361
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	4,6	44
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	4,7	2
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	5,1	2399
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	5,2	2802
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	5,3	1752
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	5,4	455
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	5,5	70
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	5,6	6
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	6,1	270
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	6,2	313
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	6,3	187
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	6,4	55
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	6,5	11
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	6,6	4
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	7,1	11
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	7,2	20
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	7,3	16
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	7,4	6
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	8,1	2
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	8,2	1
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	8,3	1
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	9,2	1
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	9,4	1
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	10,2	4
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	10,3	1
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	11,2	1
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	11,3	1
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	11,4	1
neuralmind/bert-base-portuguese-cased	ontoPT-test.tsv	13,2	1
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	1,1	1045
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	1,2	467
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	1,3	218
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	1,4	64
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	1,5	7
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	2,1	906
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	2,2	485
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	2,3	216
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	2,4	55
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	2,5	7
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	3,1	501
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	3,2	277
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	3,3	118
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	3,4	36
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	3,5	4
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	4,1	108
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	4,2	65
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	4,3	37
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	4,4	5
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	5,1	15
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	5,2	7
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	5,3	1
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	5,4	1
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-1.tsv	6,2	1
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	1,1	4681
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	1,2	3132
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	1,3	999
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	1,4	156
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	1,5	11
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	1,6	3
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	2,1	3712
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	2,2	5351
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	2,3	2535
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	2,4	362
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	2,5	36
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	2,6	3
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	2,7	1
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	3,1	1682
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	3,2	2819
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	3,3	2480
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	3,4	533
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	3,5	45
neuralmind/bert-base-portuguese-cased	conceptnet-hypernym-allrelation.tsv	3,6	5
